Player,Team,Class,W,L,ERA,APP,GS,CG,SHO,SV,IP,H,R,ER,BB,K,HBP,BA
Gavin Eddy,California,SO,6,3,2.87,14,14,0,0,0,84.2,72,33,27,21,94,7,0.229
Chansen Cole,West Virginia,SO,9,1,2.87,18,16,1,0,0,87.2,67,32,28,30,95,8,0.209
Charlie Hale,Connecticut,JR,7,0,2.89,19,7,0,0,2,62.1,56,23,20,19,60,9,0.241
Ross Yoshida,Cornell,FR,3,1,2.89,16,0,0,0,1,43.2,31,16,14,13,42,5,0.199
Wes Mendes,Florida State,JR,9,3,2.9,16,16,2,1,0,93,70,35,30,25,125,9,0.207
Nathan Leininger,Toledo,SR,9,1,2.91,15,15,1,0,0,96,74,33,31,37,90,10,0.211
Cullen Condon,Wofford,SO,7,2,2.92,13,13,0,0,0,64.2,50,31,21,26,58,10,0.212
Grant Govel,Southern California,SO,10,2,2.93,18,17,1,0,0,98.1,72,34,32,15,96,3,0.2
Walker McDuffie,North Carolina,SO,7,2,2.94,34,0,0,0,6,64.1,44,21,21,37,82,8,0.196
Dakota Stone,North Florida,JR,6,3,2.96,14,12,0,0,0,76,60,31,25,35,98,9,0.216
Nick Lewis,Washington State,SO,10,2,2.97,16,15,2,0,0,100,92,41,33,27,66,5,0.246
Connor Kelley,UTSA,JR,5,2,2.98,20,5,0,0,2,66.1,51,26,22,23,73,7,0.214
Micah Worley,Stony Brook,SR,6,4,2.98,13,13,0,0,0,66.1,53,32,22,28,87,6,0.218
Tomas Valincius,Mississippi State,SO,11,2,2.99,16,16,0,0,0,93.1,77,39,31,19,130,6,0.221
Denver Hamilton,Central Arkansas,JR,9,0,3,14,13,1,0,0,78,86,27,26,16,54,8,0.288
Tyler Weimer,Arkansas State,SO,5,2,3,19,3,0,0,2,54,45,19,18,11,51,1,0.222
Steven Cash,Jacksonville State,SR,9,2,3.01,17,17,1,1,0,89.2,64,32,30,32,103,11,0.199
Ryan Karst,Indiana State,SR,3,1,3.05,16,10,0,0,0,65,47,27,22,23,53,16,0.202
Colby Allen,Southern Miss,SR,7,2,3.05,24,5,0,0,2,73.2,75,30,25,18,90,2,0.26
Max Vaisvila,Northern Illinois,SR,8,0,3.05,16,15,3,2,0,85.2,70,33,29,20,87,9,0.227
Hekili Robello,Hawaii,JR,9,4,3.07,15,14,0,0,0,85,75,36,29,19,77,9,0.237
